id,daycare_centers,places,inhabitants,inhabitants_age_below_6
0110,61,6001,124547,6341
0120,76,4051,90529,4504
0130,73,4747,78770,4423
0140,112,5553,103158,5248
0210,27,2095,40981,2155
0220,79,3579,64657,3138
0230,66,3169,45780,1902
0240,36,2819,53262,2841
0250,73,4272,87944,4882
0310,14,1344,17674,1149
0320,54,3323,49064,2562
0330,25,1983,37751,2182
0340,85,6009,95353,5155
0350,48,3312,57552,3192
0360,98,6449,108982,5449
0370,58,3003,60900,3079
0410,8,792,19646,1065
0420,29,1648,41112,1721
0430,105,4848,109983,5349
0440,32,2265,54276,2495
0450,104,4528,118483,5291
0510,63,5329,113812,7004
0520,58,4571,91941,5119
0530,22,1748,33446,2301
0540,15,1117,20078,930
0610,50,2663,76247,3693
0620,49,3766,80672,3923
0630,58,4166,83753,3650
0640,46,3349,69372,2887
0710,35,2042,50344,2293
0720,54,2811,52923,2780
0730,47,2539,47401,2516
0740,53,3147,67378,3651
0750,30,2707,53764,2961
0760,61,4523,85149,4703
0810,157,8605,162548,8390
0820,48,3805,74382,4082
0830,18,1609,38731,2548
0840,25,2204,53827,3001
0910,44,3094,66246,3629
0920,60,4149,75507,4472
0930,40,3045,59802,3954
0940,23,1892,39520,1973
0950,40,2888,56161,2907
1010,56,6366,119584,6948
1020,50,5395,93512,6590
1030,21,1653,30959,1663
1040,32,2363,50036,2286
1110,32,3880,65576,4192
1120,24,2996,53086,3362
1130,40,4689,79321,4450
1140,42,4082,80743,4673
1150,33,2386,36822,2519
1210,34,2569,57082,3293
1220,35,2553,59919,3276
1240,40,2328,57310,2510
1250,36,2425,48950,2328
1260,25,2545,50837,3358
