id,name,phone_number,places,type,sponsor_id,sponsor_name,sponsor_type,lat,lon,street,zip_code,city,planning_area_id
1010020,Kita Kinderwelt,+49302291378,155,Kindertagesstätte,1334,Forum Soziale Dienste GmbH,Sonstiger freier Träger,52.5117497,13.3821185,An der Kolonnade 3,10117,Berlin,1100205
1010030,FRÖBEL Kindergarten Casa Fantasia,+493048495184,69,Kindertagesstätte,1227,Fröbel Bildung und Erziehung gGmbH,Sonstiger freier Träger,52.5353154,13.399298326674506,Anklamer Straße 38,10115,Berlin,1100416
1010080,Kita Regenbogen,+49304493238,91,Kindertagesstätte,1202,Pfefferwerk Stadtkultur gGmbH,Sonstiger freier Träger,52.532131,13.404899890866746,Fehrbelliner Straße 80,10119,Berlin,1100416
1010100,FRÖBEL Kindergarten Schatzinsel,+49302013788,234,Kindertagesstätte,1227,Fröbel Bildung und Erziehung gGmbH,Sonstiger freier Träger,52.5123463,13.4055478,Fischerinsel 8,10179,Berlin,1100312
1010110,Kita Französische Straße 16a u. 16b,+49302089214,180,Kindertagesstätte,1318,Kinder im Kiez gGmbH,Sonstiger freier Träger,52.5145727,13.3881437,Französische Straße 16,10117,Berlin,1100206
1010120,Kinderladen Die Humbolde,+4930209346651,25,Kindertagesstätte,102,Humboldt Universität zu Berlin,Betriebskita,52.5154125,13.379618031158628,Pariser Platz 4,10117,Berlin,1100205
1010130,Kita Pelikan,+49302824385,190,Kindertagesstätte,1339,Kinder- und Jugend der Volkssolidarität Berlin gGmbH,Sonstiger freier Träger,52.5251897,13.3872109,Friedrichstraße 129,10117,Berlin,1100308
1010150,Kita Gartenstraße 107,+49302828337,140,Kindertagesstätte,120,Kindergärten City,Eigenbetrieb,52.52937455,13.39162961909171,Gartenstraße 107,10115,Berlin,1100415
1010170,Kita Kinderakademie,+49302824496,150,Kindertagesstätte,1224,GFJ - gemeinnützige Gesellschaft für Familien- und Jugendhilfe mbH,Sonstiger freier Träger,52.5311528,13.3752043,Habersaathstraße 13,10115,Berlin,1100308
1010180,Lichtenberger Straße 32,+49302492179,190,Kindertagesstätte,120,Kindergärten City,Eigenbetrieb,52.5149252,13.423468627169726,Lichtenberger Straße 32/33,10179,Berlin,1100311
1010200,Kita Jerusalemer Straße 10,+493020216803,185,Kindertagesstätte,120,Kindergärten City,Eigenbetrieb,52.5118678,13.3968064,Jerusalemer Straße 10,10117,Berlin,1100207
1010210,Kita Kleine Auguststraße 10,+49302826045,220,Kindertagesstätte,120,Kindergärten City,Eigenbetrieb,52.5281417,13.399199032030436,Kleine Auguststraße 11,10119,Berlin,1100309
1010250,Kita Max-Beer-Straße 24,+49302476849,200,Kindertagesstätte,120,Kindergärten City,Eigenbetrieb,52.525947,13.4087867,Max-Beer-Straße 24,10119,Berlin,1100310
1010280,FRÖBEL Kindergarten Traumzauberbaum,+49302419156,240,Kindertagesstätte,1227,Fröbel Bildung und Erziehung gGmbH,Sonstiger freier Träger,52.5236814,13.421097,Mollstraße 7,10178,Berlin,1100311
1010330,Kita Umka,+493083176995,65,Kindertagesstätte,8368,MITRA bilinguale Kindergärten gemeinnützige GmbH,Sonstiger freier Träger,52.510281,13.397725888685963,Leipziger Straße 47,10117,Berlin,1100207
1010360,Kita Rheinsberger Straße 34,+49304493459,103,Kindertagesstätte,1318,Kinder im Kiez gGmbH,Sonstiger freier Träger,52.53881825,13.4041462,Rheinsberger Straße 34,10435,Berlin,1100416
1010390,Kita Pfiffikus,+4930283057224,150,Kindertagesstätte,1205,BIK e.V. Berliner Institut für Kleinkindpädagogik und familienbegleitende Kinderbetreuung,Sonstiger freier Träger,52.5276691,13.4070912,Rückerstraße 2,10119,Berlin,1100309
1010410,Kita Trauminsel,+49302794009,90,Kindertagesstätte,1334,Forum Soziale Dienste GmbH,Sonstiger freier Träger,52.5088615,13.4187863,Schmidstraße 2,10179,Berlin,1100313
1010450,Kita Villa Murkelmaier,+49302792668,94,Kindertagesstätte,1224,GFJ - gemeinnützige Gesellschaft für Familien- und Jugendhilfe mbH,Sonstiger freier Träger,52.5074957,13.410391,Sebastianstraße 22,10179,Berlin,1100312
1010460,Kita Pusteblume,+49302792210,86,Kindertagesstätte,1224,GFJ - gemeinnützige Gesellschaft für Familien- und Jugendhilfe mbH,Sonstiger freier Träger,52.5077449,13.4104484,Sebastianstraße 23,10179,Berlin,1100312
1010470,Kita Veteranenstraße 10,+493047378193,133,Kindertagesstätte,120,Kindergärten City,Eigenbetrieb,52.5326648,13.4018243,Veteranenstraße 10,10119,Berlin,1100416
1010500,Kita Weydemeyerstraße 20,+49302419151,138,Kindertagesstätte,120,Kindergärten City,Eigenbetrieb,52.5205209,13.4267854,Weydemeyerstraße 20,10178,Berlin,1100311
1010550,Kita Oase,+493044383661,95,Kindertagesstätte,1202,Pfefferwerk Stadtkultur gGmbH,Sonstiger freier Träger,52.5345394,13.4058714,Kastanienallee 63,10119,Berlin,1100416
