id,daycare_centers,places
01100101,1,39
01100102,1,176
01100103,7,431
01100104,2,300
01100205,7,303
01100206,4,245
01100207,5,533
01100308,8,645
01100309,10,872
01100310,7,658
01100311,4,673
01100312,5,569
01100313,5,223
01100414,1,54
01100415,9,929
01100416,17,1125
01200517,4,177
01200518,4,175
01200519,11,789
01200520,3,174
01200521,4,146
01200522,12,445
01200623,9,552
01200624,5,351
01200625,7,223
01200626,7,406
01200628,5,293
01200629,3,278
01300730,7,520
01300731,8,421
01300732,8,610
01300733,17,662
01300834,13,969
01300835,9,696
01300836,12,890
01400937,7,551
01400938,11,665
01400939,17,386
01400940,3,153
01400941,2,115
01400942,11,568
01401043,11,582
01401044,9,786
01401045,5,227
01401046,4,141
01401047,14,585
01401048,13,540
01401049,7,320
02100101,6,374
02100102,10,839
02100103,1,62
02100104,4,476
02100105,4,275
02100106,2,40
02200207,2,52
02200208,5,314
02200209,16,645
02200210,11,962
02200211,22,602
02200212,10,428
02200213,16,585
02300314,13,836
02300315,12,406
02300316,7,256
02300417,7,358
02300418,16,711
02300419,14,666
02400520,4,329
02400521,7,629
02400522,7,515
02400623,5,691
02400624,12,613
02400625,1,68
02500726,6,150
02500727,11,687
02500728,9,219
02500729,2,466
02500830,2,201
02500831,10,488
02500832,8,433
02500833,4,103
02500834,13,831
02500835,5,275
02500836,3,298
03100101,6,455
03100102,1,70
03100103,6,759
03200204,3,161
03200205,5,208
03200206,17,1160
03200207,14,714
03200308,4,315
03200309,3,203
03200310,9,686
03300411,11,909
03300412,3,215
03300413,4,352
03300514,2,91
03300515,1,120
03300516,3,253
03400618,2,146
03400619,14,1034
03400620,1,78
03400721,18,668
03400722,7,514
03400723,9,609
03400724,9,536
03400725,5,488
03400826,4,527
03400827,4,191
03400828,6,446
03400829,6,530
03400830,4,315
03500932,7,476
03500933,10,632
03500934,7,479
03500935,12,480
03500936,8,454
03501037,5,629
03501038,2,217
03601139,6,347
03601140,3,155
03601141,11,546
03601142,14,562
03601243,7,643
03601244,4,154
03601245,6,711
03601346,3,101
03601347,16,884
03601348,8,212
03601449,5,655
03601450,3,231
03601451,3,308
03601452,3,275
03601453,9,656
03701554,10,470
03701555,4,330
03701556,7,556
03701657,4,287
03701658,12,456
03701659,8,417
03701660,16,634
04100101,5,477
04100102,2,225
04200203,2,70
04200204,1,35
04200205,2,55
04200206,1,46
04200207,7,270
04200308,9,605
04200309,2,100
04200310,4,383
04200311,4,106
04300412,4,539
04300413,15,387
04300414,6,185
04300415,7,394
04300416,15,470
04300517,9,310
04300518,8,515
04300619,10,474
04300620,3,170
04300621,11,543
04300622,2,174
04300623,7,241
04300624,5,281
04400726,3,377
04400727,5,323
04400728,3,87
04400729,1,30
04400830,3,154
04400831,1,110
04400832,4,457
04400833,2,115
04400834,3,130
04400835,5,357
04500936,3,136
04500937,2,43
04500938,13,375
04500939,7,631
04501041,6,495
04501042,2,87
04501043,2,156
04501044,4,201
04501045,4,135
04501146,3,84
04501147,8,227
04501148,3,65
04501149,9,247
04501150,6,330
04501151,13,582
04501152,9,388
04501153,10,198
05100101,6,652
05100103,2,125
05100104,4,332
05100105,3,81
05100206,1,90
05100208,8,636
05100209,5,566
05100210,3,170
05100211,6,451
05100313,2,250
05100314,7,466
05100315,5,543
05100316,8,563
05100317,3,271
05200419,2,59
05200420,4,257
05200421,2,208
05200422,2,195
05200423,2,218
05200524,2,320
05200525,3,309
05200526,2,200
05200527,7,847
05200528,2,290
05200629,6,526
05200630,11,401
05200631,6,287
05200632,1,25
05200634,5,330
05300735,2,243
05300736,3,358
05300737,6,358
05300839,5,358
05300840,2,141
05300841,3,285
05400942,8,516
05400943,4,410
05400944,1,15
05400945,3,191
06100101,7,376
06100102,8,410
06100103,5,186
06100204,4,312
06100205,4,338
06100206,2,54
06100207,7,432
06100208,6,309
06100209,4,183
06100210,3,47
06200311,1,18
06200312,6,399
06200313,5,264
06200314,8,510
06200315,4,315
06200316,3,321
06200317,2,110
06200419,3,414
06200420,3,258
06200421,7,486
06200422,3,225
06200423,5,459
06300524,1,85
06300525,3,205
06300526,6,472
06300527,5,456
06300528,8,582
06300629,5,199
06300630,6,508
06300631,2,165
06300632,6,541
06300633,12,863
06300634,4,162
06400735,8,357
06400736,4,472
06400737,6,278
06400838,1,55
06400839,6,622
06400840,5,195
06400841,2,100
06400842,5,516
06400843,4,263
06400844,5,395
07100101,9,393
07100102,4,359
07100103,4,299
07100204,9,557
07100205,3,176
07100206,6,295
07200307,3,120
07200308,9,544
07200409,13,677
07200410,6,291
07200411,1,133
07200412,4,221
07200413,9,444
07200414,9,371
07300515,3,180
07300516,8,380
07300517,17,762
07300618,12,645
07300619,7,435
07400720,8,388
07400721,4,420
07400822,4,240
07400823,5,164
07400824,7,529
07400825,15,683
07400826,2,121
07400927,8,565
07400928,2,155
07501029,6,397
07501030,6,245
07501031,3,396
07501032,4,349
07501133,5,445
07501134,4,492
07501135,2,209
07601236,8,693
07601237,4,313
07601238,1,60
07601339,2,106
07601340,6,448
07601341,3,203
07601442,6,254
07601443,9,897
07601544,5,394
07601545,11,606
07601546,2,248
07601547,4,84
07601548,1,60
08100101,8,384
08100102,8,301
08100103,8,289
08100104,9,485
08100105,5,495
08100206,7,207
08100207,7,748
08100208,14,654
08100209,13,569
08100310,8,324
08100311,6,173
08100312,15,877
08100313,1,17
08100314,5,330
08100415,6,260
08100416,9,616
08100417,9,462
08100418,9,371
08100419,4,505
08100520,1,130
08100521,5,572
08200622,4,259
08200623,3,374
08200624,5,438
08200725,1,33
08200726,6,414
08200727,8,634
08200728,1,150
08200729,1,40
08200730,4,325
08200831,6,473
08200832,6,506
08200833,3,350
08300934,6,312
08300935,5,466
08301036,3,448
08301037,5,399
08401139,1,123
08401140,2,151
08401241,2,215
08401242,4,320
08401243,7,759
08401244,1,91
08401245,4,245
08401246,2,197
09100101,11,825
09100202,2,61
09100203,3,315
09100304,9,555
09100305,4,107
09100306,1,12
09100407,5,619
09100408,8,384
09100409,3,269
09200510,5,390
09200511,9,504
09200512,5,438
09200613,10,460
09200614,6,496
09200715,5,347
09200716,7,460
09200717,2,153
09200818,2,360
09200819,7,458
09300920,11,784
09300922,5,678
09300923,5,401
09301024,4,323
09301025,5,296
09301126,7,537
09301227,1,35
09301228,3,101
09401329,5,555
09401330,1,70
09401431,3,287
09401433,2,190
09401534,8,510
09401635,3,237
09501736,3,417
09501737,12,736
09501838,10,576
09501939,5,231
09501940,3,191
09501941,3,275
09502042,2,112
09502043,3,378
10100101,2,260
10100102,3,170
10100103,2,280
10100104,6,684
10100205,2,37
10100206,5,497
10100207,2,404
10100208,4,350
10100209,4,641
10100210,6,682
10100311,2,132
10100312,9,1030
10100313,2,295
10100314,2,249
10100315,2,233
10100316,3,199
10200417,4,503
10200418,2,355
10200419,2,250
10200420,2,235
10200421,1,20
10200422,6,422
10200423,4,612
10200524,4,353
10200525,4,432
10200526,6,482
10200627,1,136
10200628,6,710
10200629,5,545
10200630,1,220
10300731,4,156
10300732,7,691
10300733,5,302
10300734,4,384
10400835,7,685
10400836,2,89
10400837,2,135
10400938,4,253
10400939,5,243
10400940,3,389
10400941,8,554
11100101,3,290
11100102,3,122
11100203,3,466
11100204,4,487
11100205,3,273
11100206,5,620
11100307,6,670
11100308,4,512
11100309,4,402
11200410,8,660
11200411,5,379
11200512,5,450
11200513,4,427
