combined_address,geometry,address
An der Kolonnade 3 10117 Berlin,POINT (13.3821185 52.5117497),"3, An der Kolonnade, 10117, An der Kolonnade, Berlin, Deutschland"
Anklamer Straße 38 10115 Berlin,POINT (13.399298326674506 52.5353154),"Weiberwirtschaft, 38, Anklamer Straße, 10115, Anklamer Straße, Berlin, Deutschland"
Fehrbelliner Straße 80 10119 Berlin,POINT (13.404899890866746 52.532131),"Regenbogenkita, 80, Fehrbelliner Straße, 10119, Fehrbelliner Straße, Berlin, Deutschland"
Fischerinsel 8 10179 Berlin,POINT (13.4055478 52.5123463),"8, Fischerinsel, 10179, Fischerinsel, Berlin, Deutschland"
Französische Straße 16 10117 Berlin,POINT (13.3881437 52.5145727),"16, Französische Straße, 10117, Französische Straße, Berlin, Deutschland"
Ziegelstraße 4 10117 Berlin,POINT (13.379618031158628 52.5154125),"Akademie der Künste, 4, Pariser Platz, 10117, Pariser Platz, Berlin, Deutschland"
Friedrichstraße 129 10117 Berlin,POINT (13.3872109 52.5251897),"129, Friedrichstraße, 10117, Friedrichstraße, Berlin, Deutschland"
Gartenstraße 107 10115 Berlin,POINT (13.39162961909171 52.52937455),"Kindergarten Gartenstraße 107, 107, Gartenstraße, 10115, Gartenstraße, Berlin, Deutschland"
Habersaathstraße 13 10115 Berlin,POINT (13.3752043 52.5311528),"13, Habersaathstraße, 10115, Habersaathstraße, Berlin, Deutschland"
Lichtenberger Straße 32 10179 Berlin,POINT (13.423468627169726 52.5149252),"Kita Lichtenberger Straße 32/33, 32/33, Lichtenberger Straße, 10179, Lichtenberger Straße, Berlin, Deutschland"
Jerusalemer Straße 10 10117 Berlin,POINT (13.3968064 52.5118678),"10, Jerusalemer Straße, 10117, Jerusalemer Straße, Berlin, Deutschland"
Kleine Auguststraße 11 10119 Berlin,POINT (13.399199032030435 52.5281417),"11, Kleine Auguststraße, 10119, Kleine Auguststraße, Berlin, Deutschland"
Max-Beer-Straße 24 10119 Berlin,POINT (13.4087867 52.525947),"24, Max-Beer-Straße, 10119, Max-Beer-Straße, Berlin, Deutschland"
Mollstraße 7 10178 Berlin,POINT (13.421097 52.5236814),"7, Mollstraße, 10178, Mollstraße, Berlin, Deutschland"
Leipziger Straße 47 10117 Berlin,POINT (13.397725888685965 52.510281),"47, Leipziger Straße, 10117, Leipziger Straße, Berlin, Deutschland"
Rheinsberger Straße 34 10435 Berlin,POINT (13.4041462 52.53881825),"34, Rheinsberger Straße, 10435, Rheinsberger Straße, Berlin, Deutschland"
Rückerstraße 2 10119 Berlin,POINT (13.4070912 52.5276691),"2, Rückerstraße, 10119, Rückerstraße, Berlin, Deutschland"
Schmidstraße 2 10179 Berlin,POINT (13.4187863 52.5088615),"2, Schmidstraße, 10179, Schmidstraße, Berlin, Deutschland"
Sebastianstraße 22 10179 Berlin,POINT (13.410391 52.5074957),"22, Sebastianstraße, 10179, Sebastianstraße, Berlin, Deutschland"
Sebastianstraße 23 10179 Berlin,POINT (13.4104484 52.5077449),"23, Sebastianstraße, 10179, Sebastianstraße, Berlin, Deutschland"
Veteranenstraße 10 10119 Berlin,POINT (13.4018243 52.5326648),"Kindergarten Veteranenstraße 10, 10, Veteranenstraße, 10119, Veteranenstraße, Berlin, Deutschland"
