latlon,planning_area_id
52.5117497_13.3821185,1100205
52.5353154_13.399298326674506,1100416
52.532131_13.404899890866746,1100416
52.5123463_13.4055478,01100312
52.5145727_13.3881437,01100206
52.5154125_13.379618031158628,01100205
52.5251897_13.3872109,01100308
52.52937455_13.39162961909171,01100415
52.5311528_13.3752043,01100308
52.5149252_13.423468627169726,01100311
52.5118678_13.3968064,01100207
52.5281417_13.399199032030436,01100309
52.525947_13.4087867,01100310
52.5236814_13.421097,01100311
52.510281_13.397725888685963,01100207
52.53881825_13.4041462,01100416
52.5276691_13.4070912,01100309
52.5088615_13.4187863,01100313
52.5074957_13.410391,01100312
52.5077449_13.4104484,01100312
52.5326648_13.4018243,01100416
52.5205209_13.4267854,01100311
52.5345394_13.4058714,01100416
52.5333749_13.3967014,01100415
52.535387_13.4050773,01100416
52.52515335_13.399706613593082,01100309
52.5118268_13.3872975,01100207
52.53152245_13.374616833153253,01100308
52.5301162_13.3873514,01100415
52.5368696_13.403423,01100416
52.53685275_13.40511212368608,01100416
52.5340512_13.3961737,01100415
52.524869_13.3962336,01100309
52.5348982_13.3967912,01100415
52.53635575_13.400019722527492,01100416
52.5113427_13.3800518,01100205
52.533757_13.4061799,01100416
52.5252522_13.398356325237522,01100309
52.509943_13.394387465566156,01100207
52.5268215_13.3900449,01100309
52.5353404_13.3981832,01100416
52.5226714_13.3807663,01100308
52.529344_13.3998572,01100309
52.51329725_13.387391316441448,01100206
52.5345738_13.3984449,01100416
52.5356356_13.4003273,01100416
52.5055906_13.422653123581425,01100313
52.528696_13.3904099,01100415
52.5217277_13.401912,01100310
52.5125435_13.3836571,01100205
52.5092253_13.424421131751824,01100313
52.53141965_13.388788055749256,01100415
52.51366635_13.38259262405118,01100205
52.5236126_13.391335,01100309
52.5378234_13.3996798,01100416
52.5356426_13.3782694,01100414
52.5339984_13.401018969940292,01100416
52.5105497_13.4246512,01100313
52.5299984_13.3976003,01100415
52.5269043_13.4049809,01100309
52.5237456_13.3749486,01100308
52.52308755_13.390197631213477,01100309
52.5118842_13.3881935,01100207
52.5252482_13.4157307,01100310
52.5199581_13.4189273,01100311
52.5130753_13.3817536,01100205
52.5296516_13.3951868,01100415
52.5295538_13.3809426,01100308
52.5377697_13.3733503,01100308
52.5064999_13.4082649,01100312
52.5260461_13.4101806,01100310
52.5139856_13.3949993,01100206
52.5105648_13.380964241396857,01100205
52.5359575_13.367572950691953,01100308
52.5094324_13.4188859,01100313
52.5148954_13.3847786,01100206
52.5319746_13.3398782,01200520
52.520978_13.3510394,01200626
52.529609_13.334524009227742,01200519
52.53269395_13.34652615914986,01200623
52.5175281_13.3402932,01200629
52.5250301_13.34981961573975,01200626
52.5307571_13.3460867,01200625
52.5013618_13.3611991,01100103
52.5285747_13.354702292069298,01200623
52.52599755_13.335989345431994,01200521
52.53177839999999_13.326201207665864,01200518
52.522316_13.330293830027294,01200522
52.5217925_13.3433762011076,01200629
52.5189564_13.3559171,01200628
52.527144_13.3495729,01200625
52.5026726_13.3614507,01100103
52.52346085_13.354500054874965,01200626
52.5031196_13.3629927,01100103
52.526849_13.3322956,01200521
52.52168245_13.335637309274183,01200522
52.521153_13.3751759,01100102
52.5351854_13.3515648,01200623
52.5349172_13.3585958,01200624
52.5342628_13.3496512,01200623
52.5276777_13.3516191,01200625
52.531918_13.3267507,01200518
52.5218443_13.338127002452026,01200522
52.5275493_13.3430509,01200520
52.5207847_13.356853,01200628
52.529973_13.3314796,01200519
52.5217371_13.351301,01200626
52.5272998_13.3514102,01200625
52.5285385_13.3455021,01200625
52.5348621_13.3486962,01200623
52.5323497_13.3347329,01200519
52.5286718_13.3185903,01200517
52.50445015_13.355246725096585,01100103
52.52041855_13.357688300465057,01200628
52.5295199_13.315425,01200517
52.5302075_13.3447714,01200625
52.5078772_13.3443759,01100101
52.5036685_13.3692782,01100104
52.52985625_13.333752493571874,01200519
52.52240885_13.360715604743186,01200628
52.5305532_13.3310892,01200519
52.5325842_13.3409226,01200520
52.52457675_13.337619813880607,01200522
52.5191095_13.3366464,01200522
52.5050578_13.354031055280494,01100103
52.5326722_13.3323498,01200519
52.5315606_13.3318778,01200519
52.5155299_13.335315895364111,01200629
52.5019992_13.3694003,01100104
52.5313702_13.349785,01200623
52.5215189_13.33562008595617,01200522
52.523483_13.33373507811344,01200522
52.5278776_13.3333668,01200519
52.5248009_13.3346053,01200521
52.5309647_13.3478335,01200623
52.523205950000005_13.354256275566865,01200626
52.528625_13.3188446,01200517
52.5246505_13.3465889,01200626
52.5246646_13.3338438,01200521
52.5306898_13.331123,01200519
52.5219031_13.3341186,01200522
52.525313_13.341483590959507,01200522
52.5256683_13.3197157,01200517
52.522374850000006_13.336229699531271,01200522
52.5264908_13.3262262,01200518
52.5334356_13.3473085,01200623
52.52352045_13.36924113494993,01200628
52.5045946_13.3569345,01100103
52.5232179_13.334627799649628,01200522
52.5337376_13.34914813391594,01200623
52.5203327_13.355486,01200626
52.5321869_13.3267398,01200518
52.531362400000006_13.329619445581168,01200519
52.5297496_13.3448171,01200625
52.5318182_13.3681795,01200624
52.532992_13.3604157,01200624
52.533928_13.365822,01200624
52.5304971_13.3288269,01200519
52.5313064_13.3659275,01200624
52.52317485_13.331994697924756,01200522
52.5373198_13.387335,01300835
52.544981_13.3470742,01400942
52.5472277_13.3929346,01300834
52.5559822_13.349066463142693,01400940
52.559713_13.3292215,01400937
52.545109_13.39893343514406,01300834
52.5529095_13.371648434679996,01401044
52.5472843_13.3689638,01401043
52.54154935_13.371096320117102,01300836
52.557651_13.3732107,01300730
52.5665591_13.389024841509434,01300731
52.5407358_13.388975947508246,01300835
52.55274765_13.371428782663468,01401044
52.5407901_13.360264106315778,01401047
52.55879285_13.391586210855714,01300732
52.5507763_13.344275,01400938
52.5470744_13.3743752,01300836
52.5391063_13.3970322,01300834
52.5582258_13.3800162,01300730
52.55918_13.3441936,01400941
52.5474538_13.3618243,01401043
52.5489122_13.342032,01400938
52.5554342_13.3937532,01300732
52.553957350000005_13.388293691367664,01300733
52.5551872_13.33489905,01400937
52.5477357_13.358958295974492,01401048
52.5487791_13.3496104,01400942
52.5583958_13.3877835,01300732
52.5416788_13.3549514,01401046
52.5373806_13.3836596,01300835
52.5508076_13.3642742,01401049
52.5543368_13.3656993,01401049
52.5504927_13.3806914,01300836
52.5541544_13.3918215,01300733
52.5414435_13.3538145,01401046
52.5397193_13.350371,01401046
52.5560364_13.343609025293972,01400939
52.5517689_13.386439,01300733
52.5539143_13.3484362,01400939
52.5465621_13.3476372,01400942
52.5513301_13.3572429,01401048
52.5424176_13.3593597,01401047
52.5423045_13.3593874,01401047
52.5493377_13.347099,01400938
52.5548817_13.3493473,01400939
52.5487826_13.3717806,01401044
52.5421638_13.359589,01401047
52.5514996_13.3574937,01401048
52.5484727_13.3727945,01401044
52.5539469_13.3356858,01400937
52.5420422_13.3672502,01300836
52.5549669_13.3762026,01401045
52.5518629_13.361499,01401048
52.5420224_13.3597173,01401047
52.5525522_13.3849693,01300733
52.5403396_13.3958587,01300834
52.5601346_13.386247441106407,01300731
52.5542882_13.3723278,01401044
52.5476728_13.394347,01300834
52.5535614_13.3653879,01401049
52.5593605_13.3843115,01300731
52.5562542_13.3474717,01400939
52.5544151_13.358626994071264,01400940
52.5522891_13.3871449,01300733
52.5556045_13.3927116,01300732
52.5396501_13.37511388547968,01300836
52.5519857_13.3569149,01401048
52.550546_13.3555959,01401048
52.5512682_13.3890783,01300733
52.5501413_13.3603336,01401048
52.5502306_13.3606633,01401048
52.5478733_13.3650094,01401043
52.5476546_13.3937233,01300834
52.5600788_13.3766676,01300730
52.55536945_13.316120199000116,01400937
52.5566187_13.3850413,01300732
52.5547984_13.3811029,01401045
52.5518528_13.3612453,01401048
52.5650917_13.390071,01300731
52.5445089_13.3896669,01300835
52.5464021_13.3492061,01400942
52.554334_13.3485352,01400939
52.5538116_13.3483101,01400939
52.5389081_13.3605666,01300836
52.5512872_13.386382162887276,01300733
52.5482151_13.359802,01401048
52.5422251_13.347348079051098,01400938
52.5559711_13.3451999,01400939
52.538582_13.384359,01300835
52.5400571_13.3583031,01401046
52.5398001_13.380702299183351,01300835
52.5536442_13.3618935,01401049
52.5531529_13.3900238,01300733
52.5508678_13.381256,01300836
52.5496819_13.3611493,01401048
52.5457971_13.3565397,01400942
52.5591286_13.3500489,01400940
52.5466525_13.3671929,01401043
52.5537678_13.3618662,01401049
52.5529901_13.3703477,01401044
52.5414481_13.3602389,01401047
52.5561799_13.34337985995461,01400939
52.5545703_13.3909344,01300733
52.5559925_13.3879145,01300732
52.5591282_13.388385575343165,01300732
52.5509925_13.3887986,01300733
52.5533507_13.3904383,01300733
52.5557627_13.3448857,01400939
52.554953_13.3773475,01401045
52.5514436_13.339499220285898,01400937
52.5503412_13.3599786,01401048
52.5524001_13.3851974,01300733
52.5424886_13.3623492,01401047
52.5541815_13.3731693,01401045
52.5402687_13.3587144,01401047
52.55979185_13.381581975438014,01300730
52.5405576_13.3964374,01300834
52.545047_13.3636572,01401043
52.5505254_13.3851602,01300733
52.5448748_13.3919528,01300834
52.552652_13.356986,01401048
52.5472405_13.3694945,01401044
52.5450432_13.3692085,01300836
52.5601887_13.3803636,01300730
52.5394341_13.3885513,01300835
52.5556015_13.3467769,01400939
52.5538414_13.3464866,01400939
52.5499518_13.3493762,01400938
52.5416849_13.3612926,01401047
52.5477255_13.3650422,01401043
52.5412865_13.3950671,01300834
52.5522295_13.3461365,01400938
52.5534118_13.3385965,01400937
52.5415892_13.360111,01401047
52.5469217_13.3688611,01401043
52.5541252_13.3512548,01400939
52.5478903_13.3665827,01401043
52.5420535_13.3706158,01300836
52.5475321_13.3694653,01401044
52.5441251_13.3919112,01300834
52.5351373_13.387810619482984,01300835
52.5565362_13.3883126,01300732
52.5536979_13.3659541,01401049
52.5512925_13.3483259,01400938
52.5574157_13.3421863,01400939
52.5539006_13.3448653,01400938
52.5483619_13.363489,01401043
52.5468744_13.3515967,01400942
52.555131_13.3897957,01300733
52.5554502_13.3436358,01400939
52.5515456_13.3826998,01300836
52.54759835_13.39842485055857,01300834
52.5494109_13.3509631,01400942
52.5555769_13.3473642,01400939
52.5560566_13.3425785,01400939
52.5471992_13.3342492,01400938
52.5502094_13.3856915,01300733
52.5553027_13.3667986,01401049
52.5591017_13.3372857,01400941
52.5433342_13.359780298197371,01401047
52.5410918_13.36251039827256,01401047
52.5592272_13.3847917,01300731
52.5413169_13.3577829,01401047
52.5429086_13.372843,01300836
52.5467024_13.3917459,01300834
52.5578938_13.385222838561331,01300730
52.5475764_13.3513532,01400942
52.5456706_13.3351571,01400938
52.5408184_13.370396,01300836
52.5614994_13.3817038,01300731
52.545116750000005_13.3503071157897,01400942
52.5514374_13.396290798935976,01300733
52.5528523_13.3895744,01300733
52.5504705_13.3387414,01400937
52.5369553_13.3908071,01300835
52.5462059_13.3488265,01400942
52.5629373_13.3898969691766,01300731
52.5603699_13.3806664,01300731
52.5500915_13.3491368,01400938
52.5470045_13.3636634,01401043
52.55006215_13.367767341826406,01401043
52.54858225_13.351508358992,01400942
52.5529816_13.3799103,01401045
52.5508966_13.3727263,01401044
52.51657285_13.434352129202676,02400623
52.5191933_13.4439399,02400522
52.5170606_13.469620990617305,02500729
52.5245604_13.4422539,02400522
52.5135648_13.4645038,02500831
52.5193062_13.4313086,02400521
52.5071022_13.462241817732426,02500834
52.5082105_13.4569703,02500834
52.5156251_13.4417336,02400624
52.5246694_13.453165854447402,02500726
52.5122823_13.464427914373136,02500831
52.5224885_13.4515683,02500726
52.5168626_13.4673249,02500728
52.5080989_13.455107,02500834
52.5114636_13.4699098,02500832
52.5186151_13.4573985,02500727
52.5202833_13.4303051,02400521
52.5197246_13.432597136881126,02400521
52.5034672_13.4558521,02500835
